experiment	biological	genotype	genotype_barplot	treatment	genotype_treatment	genotype_treatment_biological	flowpot_number	plant_no	FW_g
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp2	pl2	0.0128
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp2	pl3	0.0172
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp2	pl4	0.0268
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp3	pl1	0.033
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp3	pl2	0.0337
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp3	pl3	0.0071
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp3	pl4	0.0167
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp4	pl1	0.049
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp4	pl2	0.0144
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp4	pl3	0.0101
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp4	pl4	0.0234
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp5	pl1	0.0205
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp5	pl2	0.0265
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp5	pl3	
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp5	pl4	
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp6	pl1	0.0162
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp6	pl2	0.0227
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp6	pl3	0.0496
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp6	pl4	0.0439
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp1	pl1	0.0181
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp1	pl2	0.0298
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp1	pl3	0.0249
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp1	pl4	0.0018
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp2	pl1	0.0387
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp2	pl2	0.037
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp2	pl3	0.0245
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp2	pl4	0.0223
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp3	pl1	0.0115
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp3	pl2	0.0264
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp3	pl3	0.0249
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp3	pl4	0.0147
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp4	pl1	0.0284
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp4	pl2	0.0233
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp4	pl3	0.0241
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp4	pl4	0.0137
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp5	pl1	0.0216
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp5	pl2	0.0069
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp5	pl3	0.0148
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp5	pl4	0.0076
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp6	pl1	0.0201
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp6	pl2	0.0357
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp6	pl3	0.0173
FP_gluco	bio1	pyk_bglu	jpyk_bglu	BFO	pyk_bglu_BFO	pyk_bglu_BFO_bio1	fp6	pl4	0.011
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp1	pl1	0.0287
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp1	pl2	0.0203
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp1	pl3	0.0271
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp1	pl4	0.0168
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp2	pl1	0.0139
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp2	pl2	0.0179
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp2	pl3	0.0088
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp2	pl4	0.0144
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp3	pl1	0.0213
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp3	pl2	0.0248
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp3	pl3	0.03
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp3	pl4	0.015
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp4	pl1	0.0221
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp4	pl2	0.0192
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp4	pl3	0.0179
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp4	pl4	0.02
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp5	pl1	0.0264
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp5	pl2	0.0206
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp5	pl3	0.0192
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp5	pl4	0.0223
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp6	pl1	0.0123
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp6	pl2	0.0186
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp6	pl3	0.0227
FP_gluco	bio1	pen2	gpen2	sterile	pen2_sterile	pen2_sterile_bio1	fp6	pl4	0.0198
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp1	pl1	0.0244
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp1	pl2	0.0151
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp1	pl3	0.0103
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp1	pl4	0.0112
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp2	pl1	0.0435
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp2	pl2	0.0355
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp2	pl3	0.0093
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp2	pl4	0.0071
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp3	pl1	0.0313
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp3	pl2	0.02
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp3	pl3	0.0364
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp3	pl4	0.0238
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp4	pl1	0.0118
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp4	pl2	0.016
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp4	pl3	0.006
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp4	pl4	0.0169
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp5	pl1	0.0495
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp5	pl2	0.0524
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp5	pl3	0.0585
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp5	pl4	0.0159
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp6	pl1	0.0523
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp6	pl2	0.014
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp6	pl3	0.023
FP_gluco	bio1	pen2	gpen2	BFO	pen2_BFO	pen2_BFO_bio1	fp6	pl4	0.0072
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp1	pl1	0.0253
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp1	pl2	0.0158
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp1	pl3	0.0032
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp1	pl4	0.0096
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp2	pl1	0.0304
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp2	pl2	0.0095
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp2	pl3	0.0122
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp2	pl4	0.0052
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp3	pl1	0.0178
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp3	pl2	0.0112
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp3	pl3	0.0349
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp3	pl4	
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp4	pl1	0.0369
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp4	pl2	0.0099
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp4	pl3	0.0047
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp4	pl4	
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp5	pl1	0.0202
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp5	pl2	0.0355
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp5	pl3	0.0094
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp5	pl4	0.0087
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp6	pl1	0.035
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp6	pl2	0.024
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp6	pl3	0.0206
FP_gluco	bio1	pad3	hpad3	sterile	pad3_sterile	pad3_sterile_bio1	fp6	pl4	0.0101
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp1	pl1	0.0786
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp1	pl2	0.0223
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp1	pl3	0.0192
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp1	pl4	0.0267
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp2	pl1	0.0313
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp2	pl2	0.0398
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp2	pl3	0.0068
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp2	pl4	0.0036
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp3	pl1	0.0287
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp3	pl2	0.015
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp3	pl3	0.0171
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp3	pl4	0.0123
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp4	pl1	0.0306
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp4	pl2	0.0167
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp4	pl3	0.0172
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp4	pl4	0.0292
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp5	pl1	0.0222
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp5	pl2	0.0208
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp5	pl3	0.0311
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp5	pl4	0.0284
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp6	pl1	0.0032
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp6	pl2	0.0156
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp6	pl3	0.0076
FP_gluco	bio1	pad3	hpad3	BFO	pad3_BFO	pad3_BFO_bio1	fp6	pl4	0.0068
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp1	pl1	0.0216
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp1	pl2	0.0371
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp1	pl3	0.0106
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp1	pl4	0.0374
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp2	pl1	0.0329
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp2	pl2	0.0443
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp2	pl3	0.0303
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp2	pl4	0.0466
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp3	pl1	0.0359
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp3	pl2	0.0209
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp3	pl3	0.0375
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp3	pl4	0.025
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp4	pl1	0.0153
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp4	pl2	0.0453
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp4	pl3	0.0605
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp4	pl4	0.0142
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp5	pl1	0.0346
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp5	pl2	0.0394
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp5	pl3	0.0191
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp5	pl4	0.0198
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp6	pl1	0.0398
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp6	pl2	0.029
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp6	pl3	0.0332
FP_gluco	bio1	cyp71a27	kcyp71a27	sterile	cyp71a27_sterile	cyp71a27_sterile_bio1	fp6	pl4	0.0152
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp1	pl1	0.045
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp1	pl2	0.0298
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp1	pl3	0.0121
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp1	pl4	0.0167
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp2	pl1	0.0161
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp2	pl2	0.0695
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp2	pl3	0.0137
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp2	pl4	0.031
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp3	pl1	0.065
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp3	pl2	0.0258
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp3	pl3	0.0182
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp3	pl4	
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp4	pl1	0.017
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp4	pl2	0.025
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp4	pl3	0.0145
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp4	pl4	0.0122
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp5	pl1	0.0263
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp5	pl2	0.0425
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp5	pl3	0.0159
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp5	pl4	
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp6	pl1	0.0145
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp6	pl2	0.0257
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp6	pl3	0.0192
FP_gluco	bio1	cyp71a27	kcyp71a27	BFO	cyp71a27_BFO	cyp71a27_BFO_bio1	fp6	pl4	
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp1	pl1	0.0181
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp1	pl2	0.0176
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp1	pl3	0.0307
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp1	pl4	0.0255
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp2	pl1	0.0323
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp2	pl2	0.0093
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp2	pl3	0.0118
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp2	pl4	0.0226
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp3	pl1	0.0333
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp3	pl2	0.0252
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp3	pl3	0.019
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp3	pl4	0.0103
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp4	pl1	0.0201
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp4	pl2	0.0054
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp4	pl3	0.0191
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp4	pl4	0.0253
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp5	pl1	0.0113
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp5	pl2	0.017
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp5	pl3	0.0118
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp5	pl4	0.0181
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp6	pl1	0.0226
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp6	pl2	0.0164
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp6	pl3	0.0074
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	sterile	cyp71a12_a13_sterile	cyp71a12_a13_sterile_bio1	fp6	pl4	0.0068
FP_gluco	bio1	cyp71a12_a13	ecyp71a12_a13	BFO	cyp71a12_a13_BFO	cyp71a12_a13_BFO_bio1	fp1	pl1	0.0195
